Germany,Getafe CF,Mainz,1994,Matthew Nelson,38
Germany,Manchester United,St. Petersburg,1996,Kenneth Hall,53
England,Stade Brestois,London,2015,Thomas Edwards,56
Russia,Juventus FC,Leicester,2011,Christopher Taylor,5
Russia,Borussia Dortmund,Milan,2001,Norman White,13
Russia,Real Betis,Sassuolo,1995,Jeffrey Adams,12
Italy,FC Augsburg,Milan,2013,Richard White,59
Russia,Valencia CF,Birmingham,2011,Mark Anderson,16
England,Athletic Bilbao,Lyon,2003,Kenneth Hall,36
Italy,SC Freiburg,Munich,2021,George Wilson,84
England,Leicester City,Cagliari,2011,Adam Williams,29
England,TSG 1899 Hoffenheim,Sheffield,1992,Richard Walker,41
France,FC Sochi,Brest,2022,Albert Gonzalez,10
England,FC Bayern Munich,Marseille,2017,James Johnson,31
France,Borussia Dortmund,Wolfsburg,2010,Matthew Baker,17
France,Real Sociedad,Tambov,2018,David King,82
Germany,AC Milan,Cologne,2017,Ronald Wilson,45
Spain,Inter Milan,Rome,2017,Adam Williams,10
England,Stade Brestois,Getafe,1991,Jeffrey Adams,53
Germany,AS Monaco,Marseille,1995,Joshua Miller,49
Italy,Bayer 04 Leverkusen,Bilbao,2017,William Moore,57
Spain,TSG 1899 Hoffenheim,Rome,2006,Timothy Harris,98
France,FC Sochi,Wolfsburg,2002,Thomas Edwards,49
England,FC Sochi,Gelsenkirchen,2014,David King,78
England,SPAL 2013,Rostov,2017,Ronald Wilson,33
Russia,TSG 1899 Hoffenheim,Cologne,1993,Adam Williams,11
